prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-1250.6144897905508,"[33.59479704525656, 130.3530815151803]","(6660, 6661)","(33.59470296908004, 130.35293614959957)","(33.59472761112729, 130.35309263886305)"
-1266.4366805226587,"[33.59478494388386, 130.3532381100863]","(6660, 6661)","(33.59472761112729, 130.35309263886305)","(33.59475403436642, 130.35324583746566)"
-1294.637934524781,"[33.59483761366791, 130.3534538812287]","(6661, 6664)","(33.59475403436642, 130.35324583746566)","(33.594793527662624, 130.35346036794414)"
-1411.342771257167,"[33.59493527331724, 130.3537398927196]","(6661, 6664)","(33.594793527662624, 130.35346036794414)","(33.594840493441524, 130.35375672533516)"
-1488.631251106783,"[33.59497480446807, 130.3540221323542]","(6661, 6664)","(33.594840493441524, 130.35375672533516)","(33.59489890634358, 130.35403838587226)"
-1526.780204422717,"[33.59500215042717, 130.3542663810126]","(6661, 6664)","(33.59489890634358, 130.35403838587226)","(33.59494991237201, 130.354277108292)"
-1596.456958079161,"[33.59506856653243, 130.3544894863203]","(6661, 6664)","(33.59494991237201, 130.354277108292)","(33.59499656145707, 130.35450427283098)"
-1639.991349343068,"[33.59509280070997, 130.3547213926263]","(999, 6664)","(33.59499656145707, 130.35450427283098)","(33.59503648633365, 130.35473113349138)"
-1659.3731528375588,"[33.59511655292808, 130.3548952123433]","(68, 999)","(33.59503648633365, 130.35473113349138)","(33.59508164158205, 130.3549024907918)"
-1682.9973959649972,"[33.59517125532366, 130.355111213988]","(68, 999)","(33.59508164158205, 130.3549024907918)","(33.595131733161665, 130.3551209527268)"
-1690.4555007022022,"[33.59520195404402, 130.3553303169369]","(68, 999)","(33.595131733161665, 130.3551209527268)","(33.59518438953369, 130.3553346450447)"
-1704.3084259478355,"[33.59526829680762, 130.3555534851089]","(68, 999)","(33.59518438953369, 130.3553346450447)","(33.595240030662524, 130.35556045022898)"
-1721.0784672827394,"[33.59532077799886, 130.3557498102359]","(68, 999)","(33.595240030662524, 130.35556045022898)","(33.59528864249209, 130.35575772881347)"
-1729.9343448233383,"[33.59532063131555, 130.3558695247679]","(68, 999)","(33.59528864249209, 130.35575772881347)","(33.59530072623927, 130.35587091088294)"
-1734.2392217613033,"[33.59530295597724, 130.3560031113497]","(68, 999)","(33.59530072623927, 130.35587091088294)","(33.59530989851919, 130.35600262789706)"
-1738.129998461754,"[33.5953233973436, 130.3561198083966]","(68, 999)","(33.59530989851919, 130.35600262789706)","(33.59531808429472, 130.35612017837747)"
-1742.3132926169471,"[33.59532141711897, 130.3562785616427]","(68, 999)","(33.59531808429472, 130.35612017837747)","(33.59532907637125, 130.35627802828105)"
-1747.298285442221,"[33.59530671735629, 130.3563941061779]","(68, 1002)","(33.59532907637125, 130.35627802828105)","(33.5953115, 130.3563872)"
-1752.512892071297,"[33.59521587848067, 130.3564427631258]","(993, 1002)","(33.5953115, 130.3563872)","(33.595212073471, 130.35643321520618)"
-1756.7983934325082,"[33.59515431340187, 130.3563750163935]","(993, 1002)","(33.595212073471, 130.35643321520618)","(33.59515368639233, 130.3563752059268)"
-1799.1765884127974,"[33.59507568067274, 130.3563239077389]","(600, 993)","(33.59515368639233, 130.3563752059268)","(33.595118, 130.3563637)"
-1919.3666799170885,"[33.59498208699685, 130.3563554968019]","(993, 998)","(33.595118, 130.3563637)","(33.595131592169295, 130.35630578540466)"
Path2
1,"[33.59168760015964, 130.3455961194172]","(6590, 10552)","(33.59171632721579, 130.34546861602865)","(33.59171632721579, 130.34546861602865)"
-9.851839453779926,"[33.59178017828017, 130.3454932525105]","(6590, 10552)","(33.59171632721579, 130.34546861602865)","(33.59178237620507, 130.3454834971471)"
-13.373060596067074,"[33.59190499529577, 130.3455116717427]","(6590, 10552)","(33.59178237620507, 130.3454834971471)","(33.59190511279627, 130.3455111502235)"
-17.990497726935725,"[33.59203323631882, 130.3455517665766]","(6590, 10552)","(33.59190511279627, 130.3455111502235)","(33.59203575566186, 130.34554058461723)"
-28.555579238940833,"[33.59214374333023, 130.3455941287152]","(6590, 10552)","(33.59203575566186, 130.34554058461723)","(33.59215000739598, 130.34556632601922)"
-38.87504230910559,"[33.59225878495126, 130.3456195887461]","(6590, 10552)","(33.59215000739598, 130.34556632601922)","(33.59226495052624, 130.34559222319572)"
-46.53184195461078,"[33.59238239706828, 130.345641067373]","(6590, 10552)","(33.59226495052624, 130.34559222319572)","(33.59238719642218, 130.34561976571644)"
-51.64077885174987,"[33.59249841308556, 130.3456586903244]","(6590, 10552)","(33.59238719642218, 130.34561976571644)","(33.592501386450294, 130.3456454932158)"
-64.10953023050627,"[33.59267300812862, 130.3457169864609]","(6590, 10552)","(33.592501386450294, 130.3456454932158)","(33.59268004670764, 130.34568574613226)"
-72.06309447660949,"[33.59280668900683, 130.345737061119]","(6590, 6627)","(33.59268004670764, 130.34568574613226)","(33.59281148498056, 130.34571512811314)"
-79.3237544238367,"[33.59294795550741, 130.3457663768254]","(6590, 6627)","(33.59281148498056, 130.34571512811314)","(33.59295242294852, 130.34574594626898)"
-84.32511823775918,"[33.59307195528745, 130.3457855085194]","(6590, 6627)","(33.59295242294852, 130.34574594626898)","(33.5930747568514, 130.34577269637282)"
-95.41815878097505,"[33.59318609585389, 130.3458272923067]","(6590, 6627)","(33.5930747568514, 130.34577269637282)","(33.59319240862585, 130.34579842266055)"
-100.15994904876048,"[33.59330475426614, 130.3458343372963]","(6590, 6627)","(33.59319240862585, 130.34579842266055)","(33.59330712256823, 130.3458235065482)"
